event_id,source_event_id,year,region,event_start,event_peak,event_end,flood_mechanism,source,observation_family,label_kind,source_confidence,gfm_available,secondary_label_available,rainfall_available,dem_available,river_data_available,event_eligible,cube_eligible,quality,accepted,rejection_reason,matched_gfm_event_id,independent_from_gfm,spatial_resolution_m,license,provenance
evt:2020-06-07,evt:2020-06-07,2020,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2020-06-07,2020-06-19,2020-08-08,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2020-06-07,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2021-06-02,evt:2021-06-02,2021,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2021-06-02,2021-07-08,2021-08-13,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2021-06-02,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2022-05-16,evt:2022-05-16,2022,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2022-05-16,2022-05-28,2022-07-03,haor_premonsoon_flash,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2022-05-16,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2023-06-16,evt:2023-06-16,2023,"dhaka_ne,dhaka_nw,kishoreganj,netrokona,sunamganj",2023-06-16,2023-06-28,2023-08-15,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2023-06-16,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2024-06-22,evt:2024-06-22,2024,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2024-06-22,2024-06-22,2024-08-11,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2024-06-22,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2025-07-11,evt:2025-07-11,2025,"sunamganj,kishoreganj,netrokona,dhaka_nw,dhaka_ne,dhaka_sw,dhaka_se",2025-07-11,2025-08-04,2025-08-04,monsoon_riverine,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,medium,True,False,False,True,True,True,False,ok,True,precip_lattice_window_excludes_2025,evt:2025-07-11,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2002-04-18,gfd:dfo:1908,2002,bangladesh,2002-04-18,2002-04-18,2002-04-29,haor_premonsoon_flash,global-flood-database,C,OBSERVED,low,False,True,False,True,True,True,False,haor_premonsoon,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:1908;retrieved=2026-09-02T19:44:37Z
evt:2003-06-11,"gfd:dfo:2248,gfd:dfo:2257",2003,bangladesh,2003-06-11,2003-06-11,2003-10-10,monsoon_riverine,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,"gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:2248,gfd:dfo:2257;retrieved=2026-09-02T19:44:37Z"
evt:2004-04-14,gfd:dfo:2473,2004,bangladesh,2004-04-14,2004-04-14,2004-05-03,haor_premonsoon_flash,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,haor_premonsoon,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:2473;retrieved=2026-09-02T19:44:37Z
evt:2005-05-25,"gfd:dfo:2657,gfd:dfo:2676",2005,bangladesh,2005-05-25,2005-05-25,2005-06-30,haor_premonsoon_flash,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,"gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:2657,gfd:dfo:2676;retrieved=2026-09-02T19:44:37Z"
evt:2005-10-03,gfd:dfo:2747,2005,bangladesh,2005-10-03,2005-10-03,2005-10-22,unspecified,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:2747;retrieved=2026-09-02T19:44:37Z
evt:2006-05-31,gfd:dfo:2961,2006,bangladesh,2006-08-24,2006-08-24,2006-09-20,monsoon_riverine,global-flood-database,C,OBSERVED,low,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:2961;retrieved=2026-09-02T19:44:37Z
evt:2007-06-11,"gfd:dfo:3097,gfd:dfo:3136,gfd:dfo:3226",2007,bangladesh,2007-06-11,2007-06-11,2007-12-01,monsoon_riverine,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,"gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3097,gfd:dfo:3136,gfd:dfo:3226;retrieved=2026-09-02T19:44:37Z"
evt:2008-08-30,gfd:dfo:3371,2008,bangladesh,2008-08-30,2008-08-30,2008-09-08,monsoon_riverine,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3371;retrieved=2026-09-02T19:44:37Z
evt:2009-04-20,gfd:dfo:3485,2009,bangladesh,2009-04-20,2009-04-20,2009-05-15,haor_premonsoon_flash,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,haor_premonsoon,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3485;retrieved=2026-09-02T19:44:37Z
evt:2009-07-03,gfd:dfo:3495,2009,bangladesh,2009-07-03,2009-07-03,2009-07-06,monsoon_riverine,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3495;retrieved=2026-09-02T19:44:37Z
evt:2010-03-27,gfd:dfo:3633,2010,bangladesh,2010-03-27,2010-03-27,2010-04-07,unspecified,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,ok,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3633;retrieved=2026-09-02T19:44:37Z
evt:2010-07-01,gfd:dfo:3679,2010,bangladesh,2010-07-01,2010-07-01,2010-07-13,monsoon_riverine,global-flood-database,C,OBSERVED,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3679;retrieved=2026-09-02T19:44:37Z
evt:2010-09-09,"gfd:dfo:3716,gfd:dfo:3732",2010,bangladesh,2010-09-09,2010-09-09,2010-10-12,monsoon_riverine,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,tropical_cyclone_or_compound,True,,,True,250,CC BY-NC 4.0,"gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3716,gfd:dfo:3732;retrieved=2026-09-02T19:44:37Z"
evt:2011-07-21,gfd:dfo:3843,2011,bangladesh,2011-07-21,2011-07-21,2011-07-29,monsoon_riverine,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:3843;retrieved=2026-09-02T19:44:37Z
evt:2014-07-13,gfd:dfo:4178,2014,bangladesh,2014-08-20,2014-08-20,2014-09-08,monsoon_riverine,global-flood-database,C,OBSERVED,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:4178;retrieved=2026-09-02T19:44:37Z
evt:2016-06-30,gfd:dfo:4382,2016,bangladesh,2016-07-25,2016-07-25,2016-08-26,monsoon_riverine,global-flood-database,C,OBSERVED,high,True,True,True,True,True,True,False,monsoon_riverine,True,,evt:2016-06-30,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:4382;retrieved=2026-09-02T19:44:37Z
evt:2017-04-12,gfd:dfo:4459,2017,bangladesh,2017-03-30,2017-03-30,2017-04-18,unspecified,global-flood-database,C,OBSERVED,low,True,True,True,True,True,True,False,ok,True,,evt:2017-04-12,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:4459;retrieved=2026-09-02T19:44:37Z
evt:2017-07-31,gfd:dfo:4508,2017,bangladesh,2017-08-10,2017-08-10,2017-08-26,monsoon_riverine,global-flood-database,C,OBSERVED,high,True,True,True,True,True,True,False,monsoon_riverine,True,,evt:2017-07-31,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;dfo_ids=gfd:dfo:4508;retrieved=2026-09-02T19:44:37Z
rej:gfd:2507,gfd:dfo:2507,2004,bangladesh,2004-06-20,2004-06-20,2004-10-07,monsoon_riverine,global-flood-database,C,OBSERVED,rejected,False,True,False,True,True,False,False,not_bangladesh,False,country_not_bangladesh_useful,,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;rejected;retrieved=2026-09-02T19:44:37Z
rej:gfd:2570,gfd:dfo:2570,2004,bangladesh,2004-10-07,2004-10-07,2004-10-18,unspecified,global-flood-database,C,OBSERVED,rejected,False,True,False,True,True,False,False,not_bangladesh,False,country_not_bangladesh_useful,,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;rejected;retrieved=2026-09-02T19:44:37Z
rej:gfd:2690,gfd:dfo:2690,2005,bangladesh,2005-07-07,2005-07-07,2005-07-27,monsoon_riverine,global-flood-database,C,OBSERVED,rejected,False,True,False,True,True,False,False,not_bangladesh,False,country_not_bangladesh_useful,,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;rejected;retrieved=2026-09-02T19:44:37Z
rej:gfd:2879,gfd:dfo:2879,2006,bangladesh,2006-05-31,2006-05-31,2006-07-24,haor_premonsoon_flash,global-flood-database,C,OBSERVED,rejected,False,True,False,True,True,False,False,not_bangladesh,False,country_not_bangladesh_useful,,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;rejected;retrieved=2026-09-02T19:44:37Z
rej:gfd:4355,gfd:dfo:4355,2016,bangladesh,2016-04-20,2016-04-20,2016-05-01,haor_premonsoon_flash,global-flood-database,C,OBSERVED,rejected,False,True,False,True,True,False,False,not_bangladesh,False,country_not_bangladesh_useful,,False,250,CC BY-NC 4.0,gfd_qcdatabase_2019_08_01;rejected;retrieved=2026-09-02T19:44:37Z
evt:2000-05-27,"dfo:1603,dfo:1611,dfo:1617",2000,bangladesh,2000-05-27,2000-05-27,2000-08-30,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,medium,False,False,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:1603,dfo:1611,dfo:1617;retrieved=2026-09-02T19:44:37Z"
evt:2001-06-05,"dfo:1731,dfo:1766",2001,bangladesh,2001-06-05,2001-06-05,2001-09-01,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,False,False,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:1731,dfo:1766;retrieved=2026-09-02T19:44:37Z"
evt:2002-04-18,"dfo:1908,dfo:1930,dfo:1960,dfo:1974",2002,bangladesh,2002-04-18,2002-04-18,2002-08-28,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:1908,dfo:1930,dfo:1960,dfo:1974;retrieved=2026-09-02T19:44:37Z"
evt:2003-06-11,"dfo:2248,dfo:2257",2003,bangladesh,2003-06-11,2003-06-11,2003-10-10,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:2248,dfo:2257;retrieved=2026-09-02T19:44:37Z"
evt:2004-04-14,dfo:2473,2004,bangladesh,2004-04-14,2004-04-14,2004-05-03,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,haor_premonsoon,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:2473;retrieved=2026-09-02T19:44:37Z
evt:2004-06-20,"dfo:2507,dfo:2570",2004,bangladesh,2004-06-20,2004-06-20,2004-10-18,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:2507,dfo:2570;retrieved=2026-09-02T19:44:37Z"
evt:2005-05-25,"dfo:2657,dfo:2676,dfo:2690",2005,bangladesh,2005-05-25,2005-05-25,2005-07-27,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:2657,dfo:2676,dfo:2690;retrieved=2026-09-02T19:44:37Z"
evt:2005-10-03,dfo:2747,2005,bangladesh,2005-10-03,2005-10-03,2005-10-22,unspecified,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:2747;retrieved=2026-09-02T19:44:37Z
evt:2006-05-31,"dfo:2879,dfo:2961,dfo:2965",2006,bangladesh,2006-05-31,2006-05-31,2006-10-05,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:2879,dfo:2961,dfo:2965;retrieved=2026-09-02T19:44:37Z"
evt:2007-06-11,"dfo:3097,dfo:3136,dfo:3226",2007,bangladesh,2007-06-11,2007-06-11,2007-12-01,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:3097,dfo:3136,dfo:3226;retrieved=2026-09-02T19:44:37Z"
evt:2008-06-20,dfo:3322,2008,bangladesh,2008-06-20,2008-06-20,2008-06-22,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,False,False,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3322;retrieved=2026-09-02T19:44:37Z
evt:2008-08-30,dfo:3371,2008,bangladesh,2008-08-30,2008-08-30,2008-09-08,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3371;retrieved=2026-09-02T19:44:37Z
evt:2009-04-20,dfo:3485,2009,bangladesh,2009-04-20,2009-04-20,2009-05-15,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,haor_premonsoon,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3485;retrieved=2026-09-02T19:44:37Z
evt:2009-07-03,dfo:3495,2009,bangladesh,2009-07-03,2009-07-03,2009-07-06,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3495;retrieved=2026-09-02T19:44:37Z
evt:2010-03-27,dfo:3633,2010,bangladesh,2010-03-27,2010-03-27,2010-04-07,unspecified,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,ok,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3633;retrieved=2026-09-02T19:44:37Z
evt:2010-07-01,dfo:3679,2010,bangladesh,2010-07-01,2010-07-01,2010-07-13,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3679;retrieved=2026-09-02T19:44:37Z
evt:2010-09-09,"dfo:3716,dfo:3732",2010,bangladesh,2010-09-09,2010-09-09,2010-10-12,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:3716,dfo:3732;retrieved=2026-09-02T19:44:37Z"
evt:2011-07-21,"dfo:3843,dfo:3852",2011,bangladesh,2011-07-21,2011-07-21,2011-09-13,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:3843,dfo:3852;retrieved=2026-09-02T19:44:37Z"
evt:2012-06-24,dfo:3939,2012,bangladesh,2012-06-24,2012-06-24,2012-07-02,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,False,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:3939;retrieved=2026-09-02T19:44:37Z
evt:2013-05-14,dfo:4056,2013,bangladesh,2013-05-14,2013-05-14,2013-05-16,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,high,False,False,False,True,True,True,False,tropical_cyclone_or_compound,True,,,True,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4056;retrieved=2026-09-02T19:44:37Z
evt:2014-07-13,"dfo:4161,dfo:4178",2014,bangladesh,2014-07-13,2014-07-13,2014-09-08,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,False,True,False,True,True,True,False,monsoon_riverine,True,,,True,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:4161,dfo:4178;retrieved=2026-09-02T19:44:37Z"
evt:2015-07-11,dfo:4263,2015,bangladesh,2015-06-24,2015-06-24,2015-06-29,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,low,True,False,False,True,True,True,False,monsoon_riverine,True,,evt:2015-07-11,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4263;retrieved=2026-09-02T19:44:37Z
evt:2016-06-30,dfo:4382,2016,bangladesh,2016-07-25,2016-07-25,2016-08-26,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,True,True,True,True,True,True,False,monsoon_riverine,True,,evt:2016-06-30,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4382;retrieved=2026-09-02T19:44:37Z
evt:2017-04-12,"dfo:4459,dfo:4466,dfo:4484",2017,bangladesh,2017-03-30,2017-03-30,2017-06-14,unspecified,dartmouth-flood-observatory,D,INVENTORY,medium,True,True,True,True,True,True,False,haor_premonsoon,True,,evt:2017-04-12,False,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:4459,dfo:4466,dfo:4484;retrieved=2026-09-02T19:44:37Z"
evt:2017-07-31,dfo:4508,2017,bangladesh,2017-08-10,2017-08-10,2017-08-26,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,True,True,True,True,True,True,False,monsoon_riverine,True,,evt:2017-07-31,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4508;retrieved=2026-09-02T19:44:37Z
evt:2018-06-06,dfo:4617,2018,bangladesh,2018-05-20,2018-05-20,2018-05-22,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,high,True,False,True,True,True,True,False,haor_premonsoon,True,,evt:2018-06-06,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4617;retrieved=2026-09-02T19:44:37Z
evt:2019-06-15,dfo:4746,2019,bangladesh,2019-05-03,2019-05-03,2019-05-07,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,high,True,False,True,True,True,True,False,tropical_cyclone_or_compound,True,,evt:2019-06-15,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4746;retrieved=2026-09-02T19:44:37Z
evt:2019-06-15,dfo:4769,2019,bangladesh,2019-07-10,2019-07-10,2019-07-13,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,medium,True,False,True,True,True,True,False,monsoon_riverine,True,,evt:2019-06-15,False,,DFO public catalog,dfo_wiki_bangladesh;ids=dfo:4769;retrieved=2026-09-02T19:44:37Z
evt:2020-06-07,"dfo:4921,dfo:4939",2020,bangladesh,2020-05-19,2020-05-19,2020-07-30,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,high,True,False,True,True,True,True,False,tropical_cyclone_or_compound,True,,evt:2020-06-07,False,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:4921,dfo:4939;retrieved=2026-09-02T19:44:37Z"
evt:2021-06-02,"dfo:5100,dfo:5106",2021,bangladesh,2021-07-25,2021-07-25,2021-07-30,monsoon_riverine,dartmouth-flood-observatory,D,INVENTORY,high,True,False,True,True,True,True,False,monsoon_riverine,True,,evt:2021-06-02,False,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:5100,dfo:5106;retrieved=2026-09-02T19:44:37Z"
evt:2022-05-16,"dfo:5223,dfo:5232",2022,bangladesh,2022-05-09,2022-05-09,2022-06-21,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,low,True,False,True,True,True,True,False,haor_premonsoon,True,,evt:2022-05-16,False,,DFO public catalog,"dfo_wiki_bangladesh;ids=dfo:5223,dfo:5232;retrieved=2026-09-02T19:44:37Z"
rej:dfo:4355,dfo:4355,2016,India • Bangladesh,2016-04-20,2016-04-20,2016-05-01,haor_premonsoon_flash,dartmouth-flood-observatory,D,INVENTORY,rejected,False,False,False,True,True,False,False,outside_aoi,False,centroid_outside_bangladesh,,False,,DFO public catalog,dfo_wiki_bangladesh;rejected;retrieved=2026-09-02T19:44:37Z
rej:dfo:1813,dfo:1813,2001,Bangladesh,2001-10-17,2001-10-17,2001-10-19,unspecified,dartmouth-flood-observatory,D,INVENTORY,rejected,False,False,False,True,True,False,False,tiny_extent,False,tiny_or_unconfirmed_extent,,False,,DFO public catalog,dfo_wiki_bangladesh;rejected;retrieved=2026-09-02T19:44:37Z
